brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_gb,cpu_weight,normalized_price,normalized_rating,normalized_ram,normalized_harddisk,vfm_score,normalized_vfm_score
msi,Unknown,15.6 Inches,Black,1000 GB,unknown,32.0,Windows 11,,Integrated,,1.1 GHz,5.0,1129.99,1000.0,0.0,0.3207464535936805,1.0,0.4626865671641791,0.4575645756457564,0.5970227090609632,0.45901433832499366
dell,Latitude 7000,14 Inches,Black,256 GB,Intel Core i5,16.0,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,1.1 GHz,5.0,1359.99,256.0,0.5,0.3895633233012798,1.0,0.22388059701492538,0.1143911439114391,0.6590221263294449,0.5333951756071191
dell,Dell G16 7620,16 Inches,Obsidian Black,1 TB,Intel Core i7,32.0,Windows 10 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,1.1 GHz,5.0,1374.98,1024.0,0.7,0.39404838798352726,1.0,0.4626865671641791,0.46863468634686345,0.8290228387881599,0.7373454043081435
msi,CreatorPro X17 A12UKS-059,17.3 Inches,Black,1 TB,Intel Core i9,32.0,Windows 11,,Dedicated,NVIDIA Quadro RTX 3000,1.1 GHz,5.0,3400.1937500000004,1024.0,0.9,1.0,1.0,0.4626865671641791,0.46863468634686345,0.7778325163848654,0.6759322619134225
lenovo,Lenovo Ideapad,15.6 Inches,Black,256 GB,Intel Core i3,4.0,Windows 11 Home in S Mode,,Integrated,,2.4 GHz,3.7,360.0,256.0,0.3,0.0903625340017047,0.675,0.04477611940298507,0.1143911439114391,0.515541388666972,0.36126101900727775
dell,Alienware m18 Laptop,18 Inches,Black,2000 GB,Intel Core i9,64.0,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 4080,1.1 GHz,5.0,3400.1937500000004,2000.0,0.9,1.0,1.0,0.9402985074626865,0.9188191881918819,0.9408825797213196,0.8715437815725662
msi,Unknown,15.6 Inches,Black,1000 GB,unknown,32.0,Windows 11,,Integrated,,3.5 GHz,5.0,1159.99,1000.0,0.0,0.3297225670338021,1.0,0.4626865671641791,0.4575645756457564,0.5952274863729389,0.4568606057170744
dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Intel Core i5,8.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,3.0,749.99,256.0,0.5,0.20704901668547285,0.5,0.1044776119402985,0.1143911439114391,0.521644390637681,0.3685828038968039
asus,E410MA-TB.CL464,14 Inches,Black,64 GB,Celeron,4.0,Windows 11 S,,Integrated,Intel UHD Graphics 600,1.1 GHz,4.6,229.99,64.0,0.2,0.05146305039003082,0.8999999999999999,0.04477611940298507,0.025830258302583026,0.5425371525479783,0.3936478963200843
hp,HP Stream,11.6 Inches,Black,32 GB,Others,4.0,Windows 10,,Integrated,,1 GHz,4.8,176.24,32.0,0.1,0.035380847143146196,0.95,0.04477611940298507,0.01107011070110701,0.5235395710571338,0.370856456015003
lenovo,Lenovo Ideapad,15.6 Inches,Abyss Blue,256 GB,Intel Core i3,8.0,Windows 10,,Integrated,Intel UHD Graphics,1.1 GHz,4.5,400.0,256.0,0.3,0.10233068525520024,0.875,0.1044776119402985,0.1143911439114391,0.5850880569237356,0.44469630990234293
panasonic,CF-20 MK1,10.1 Inches,Black,256 GB,Core M Family,8.0,Windows 10 Pro,Backlit Keyboard,Integrated,Intel HD Graphics 515,1.1 GHz,5.0,863.99,256.0,0.0,0.24115824775793512,1.0,0.1044776119402985,0.1143911439114391,0.4898225444231885,0.3304060649921909
lenovo,ThinkBook 14 Gen 4,14 Inches,Mineral Grey,2 TB,Intel Core i7,16.0,Windows 11 Pro,Anti-glare,Integrated,,1.1 GHz,5.0,1199.0,2048.0,0.7,0.3413945065437736,1.0,0.22388059701492538,0.940959409594096,0.8626411295333447,0.7776773416680125
dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,1000 GB,Intel Core i7,64.0,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4050,1.1 GHz,5.0,2465.99,1000.0,0.7,0.7204827054604315,1.0,0.9402985074626865,0.4575645756457564,0.8575978467473145,0.7716269042154953
dell,Dell Inspiron 15 3525 Laptop,15.6 Inches,Black,2 TB,Ryzen 7,64.0,Windows 11 Home,,Integrated,AMD Radeon,1.1 GHz,4.1,971.04,2048.0,0.8,0.27318801255010255,0.7749999999999999,0.9402985074626865,0.940959409594096,0.987066010421631,0.926950144977154
dell,Latitude 5440,14 Inches,Black,512 GB,Intel Core i7,32.0,Windows 11 Pro,"Anti-glare,Backlit Keyboard",Integrated,intel,1.1 GHz,5.0,996.99,512.0,0.7,0.2809523506758078,1.0,0.4626865671641791,0.23247232472324722,0.8162176920061613,0.7219830415452637
msi,GL66 12UGKV,15.6 Inches,Core Black,2 TB,Intel Core i7,64.0,Windows 11 Pro,"HD Audio, Backlit Keyboard, Numeric Keypad",Dedicated,,1.1 GHz,4.8,1808.99,2048.0,0.7,0.5239058211217673,0.95,0.9402985074626865,0.940959409594096,0.9544224487072983,0.8877875921797886
hp,HP Stream,11.6 Inches,White,32 GB,Celeron,4.0,Windows 10 S,Anti Glare Coating,Integrated,,1.1 GHz,4.2,194.97,32.0,0.2,0.04098493396759548,0.8,0.04477611940298507,0.01107011070110701,0.512418753692244,0.35751478695898414
dell,Latitude 7000,13.3 Inches,Carbon Fiber,512 GB,Intel Core i7,16.0,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,1.1 GHz,5.0,1718.99,512.0,0.7,0.4969774808014023,1.0,0.22388059701492538,0.23247232472324722,0.7252514719511917,0.6128506672395719
dell,Latitude 9000,14 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Pro,"Anti-reflection, Anti-smudge, Corning Gorilla Glass, Anti-glare Screen",Iris Xe Graphics,Intel Iris Xe Graphics,1.1 GHz,5.0,2643.99,512.0,0.7,0.7737409785384867,1.0,0.22388059701492538,0.23247232472324722,0.6698987724037748,0.5464439118287299
dell,Latitude,14 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Pro,Information Not Available,Integrated,,1.1 GHz,5.0,1482.04,512.0,0.7,0.42608114481350806,1.0,0.22388059701492538,0.23247232472324722,0.7394307391487706,0.629861565287787
dell,Alienware m17 Ryzen Edition R5 Laptop,17.3 Inches,Dark Side of the Moon,2000 GB,Ryzen 7,16.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070 Ti,1.1 GHz,5.0,1881.99,2000.0,0.8,0.5457476971593966,1.0,0.22388059701492538,0.9188191881918819,0.8534494581998879,0.7666500733496022
asus,TAICHI21,11.6 Inches,Black and silver,128 GB,Intel Core i5,4.0,Windows 8,,Integrated,Intel HD Graphics 4000,1.1 GHz,3.5,462.0,128.0,0.5,0.12088131969811834,0.625,0.04477611940298507,0.055350553505535055,0.5555815429668036,0.40929728020034867
hp,HP Pavilion i7-1065G7 FHD Touch,15.6 Inches,Silver,1 TB,Intel Core i7,12.0,Windows 10,"Backlit Keyboard,Numeric Keypad",Integrated,,1.1 GHz,3.4,959.99,1024.0,0.7,0.2698818107663244,0.6,0.16417910447761194,0.46863468634686345,0.674154661694287,0.5515497115725809
dell,KX9W6,13.3 Inches,Black,512 GB,Intel Core i7,16.0,Windows 10 Pro,,Integrated,,1.8 GHz,5.0,1273.99,512.0,0.7,0.3638317981062644,1.0,0.22388059701492538,0.23247232472324722,0.7518806084902192,0.6447977009237067
dell,XPS 9720,17 Inches,Platinum Silver,4 TB,Intel Core i7,64.0,Windows 10 Pro,"Backlit Kb,Fingerprint",Dedicated,,1.1 GHz,5.0,3400.1937500000004,2176.0,0.7,1.0,1.0,0.9402985074626865,1.0,0.8830597014925373,0.8021735473638385
lenovo,Lenovo ThinkPad T14 Gen 3,14 Inches,Thunder Balck,4 TB,Intel Core i7,48.0,Windows 11 Pro,"Fingerprint Reader, HD Audio, TrackPoint, Backlit Keyboard, Anti Glare Coating",Integrated,,1.1 GHz,5.0,2179.0,2176.0,0.7,0.6346142122544144,1.0,0.7014925373134328,1.0,0.9083756650118037,0.8325451644874728
dell,Unknown,15.6 Inches,Black,2 TB,Intel Core i5,32.0,Windows 11 Home,,Intel UHD Graphics,Intel UHD Graphics,4.2 GHz,5.0,620.0,2048.0,0.5,0.16815551714942573,1.0,0.4626865671641791,0.940959409594096,0.8750501214420652,0.7925644365579665
dell,Latitude 5530 Laptop,15.6 Inches,Black,1000 GB,Intel Core i7,16.0,Windows 11 Pro,Backlit Keyboard,Integrated,,1.1 GHz,5.0,1009.0,1000.0,0.7,0.28454578808966985,1.0,0.22388059701492538,0.4575645756457564,0.8015016481319145,0.7043281713372589
dell,XPS 9315 2-in-1,13 Inches,Platinum Silver,1000 GB,Intel Core i7,16.0,Windows 11 Home,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1561.99,1000.0,0.7,0.4500024871314323,1.0,0.22388059701492538,0.4575645756457564,0.768410308323562,0.6646284181754845
dell,Alienware X14 Laptop,14 Inches,Lunar Light,1000 GB,Intel Core i7,12.0,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3060,1.1 GHz,5.0,2086.99,1000.0,0.7,0.6070844723335612,1.0,0.16417910447761194,0.4575645756457564,0.7250536127756736,0.612613295151456
dell,LATITUDE E6540,15.6 Inches,Silver,500 GB,Intel Core i7,16.0,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,1.1 GHz,5.0,268.98,500.0,0.7,0.0631290058243756,1.0,0.22388059701492538,0.2269372693726937,0.811190908644014,0.715952398487874
lenovo,Lenovo IdeaPad 1,14 Inches,Black,128 MB,unknown,4.0,Windows,"Anti-glare,Hd Audio",Integrated,Intel UHD Graphics 605,1.1 GHz,4.3,310.19,,0.0,0.07545919365328937,0.825,0.04477611940298507,,,
lenovo,Legion 5 Pro,16 Inches,Black,512 GB,Ryzen 7,16.0,Windows 11 Home,,Dedicated,AMD Radeon RTX 3070,3.2 GHz,5.0,1344.99,512.0,0.8,0.385075266581219,1.0,0.22388059701492538,0.23247232472324722,0.7826319147952283,0.6816901107439595
gigabyte,AORUS 17 XE4-73US514SH,17 Inches,Black,1 TB,Intel Mobile CPU,16.0,Windows 11 Home,,Dedicated,,1.1 GHz,4.0,1119.99,1024.0,0.0,0.31775441578030655,0.75,0.22388059701492538,0.46863468634686345,0.47652043919895326,0.31444750009296013
lenovo,ThinkPad P14s Gen 2,14 Inches,Black,512 GB,Ryzen 7,16.0,Windows 11 Pro,Anti-glare Screen,Radeon Graphics,,1.1 GHz,5.0,1638.95,512.0,0.8,0.47302921014315774,1.0,0.22388059701492538,0.23247232472324722,0.7650411260828405,0.6605864028298283
apple,MacBook Pro,13 Inches,Black,512 GB,Apple M1,16.0,macOS 12 Monterey,,Integrated,,3 GHz,1.0,1657.99,512.0,0.8,0.4787260501398216,0.0,0.22388059701492538,0.23247232472324722,0.4639017580835078,0.2993088406004277
dell,Latitude 9000,14 Inches,Graphite,512 GB,Intel Core i7,16.0,Windows 10 Pro,"Corning Gorilla Glass 6, Anti-reflection, Anti-smudge",Iris Xe Graphics,,1.1 GHz,5.0,2150.88,512.0,0.7,0.6262006019232071,1.0,0.22388059701492538,0.23247232472324722,0.6994068477268307,0.5818448147050979
dell,Latitude 3000,14 Inches,Apollo,256 GB,Intel Core i5,8.0,Windows 10 Pro,,Iris Xe Graphics,Intel Iris Xe Graphics,1.1 GHz,1.7,836.16,256.0,0.5,0.2328314065233156,0.175,0.1044776119402985,0.1143911439114391,0.41898791267011243,0.2454256014573623
lenovo,Unknown,13.3 Inches,Silver,256 GB,unknown,8.0,Windows 10,,Integrated,Intel HD Graphics 5300,1.1 GHz,3.0,724.0,256.0,0.0,0.19927271040851413,0.5,0.1044776119402985,0.1143911439114391,0.3481996518930728,0.16050076928449053
dell,Latitude 7410 Laptop,14 Inches,Black,256 GB,Intel Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,5.0,749.99,256.0,0.7,0.20704901668547285,1.0,0.22388059701492538,0.1143911439114391,0.7655249876526063,0.6611668926194658
dell,Latitude,15.6 Inches,Silver,512 GB,Intel Core i5,32.0,Windows 11 Pro,Backlit Keyboard,Integrated,,1.1 GHz,5.0,953.82,512.0,0.5,0.2680357234354728,1.0,0.4626865671641791,0.23247232472324722,0.7488010174542283,0.6411031087834032
lenovo,Yoga C940-14IIL,14 Inches,Gray,512 GB,Intel Core i7,8.0,Windows 10,"Fingerprint Reader,Pen",Integrated,,1.1 GHz,4.0,899.0,512.0,0.7,0.2516333721425571,0.75,0.1044776119402985,0.23247232472324722,0.6754396966680354,0.5530913708573821
asus,ASUS Rog Strix,15.6 Inches,Electro Punk,512 GB,Intel Core i7,8.0,Windows 10,Rgb Backlit Keyboard,Dedicated,,1.1 GHz,5.0,979.0,512.0,0.7,0.2755696746495482,1.0,0.1044776119402985,0.23247232472324722,0.7456524361666371,0.6373257488864912
acer,Chromebook 315 CB315-4H,15.6 Inches,Pure Silver,1000 GB,Celeron,4.0,Chrome OS,,UHD Graphics,Intel UHD Graphics,1.1 GHz,4.5,312.99,1000.0,0.2,0.07629696424103406,0.875,0.04477611940298507,0.4575645756457564,0.5948305173792536,0.4563843611421054
lenovo,Lenovo Slim 3i Chromebook,14 Inches,Black,1000 GB,Intel Atom,4.0,Chrome OS,,Integrated,,1.1 GHz,5.0,333.99,1000.0,0.0,0.08258024364911923,1.0,0.04477611940298507,0.4575645756457564,0.5610738614976366,0.4158864268236859
hp,17-by4013dx,15.6 Inches,Black,256 GB,Athlon Silver 3050U,8.0,Windows 11 Home,,Integrated,AMD Radeon Graphics,1.1 GHz,4.5,378.0,256.0,0.0,0.0957482020657777,0.875,0.1044776119402985,0.1143911439114391,0.48140455356162004,0.3203069828378325
lenovo,Chromebook Flex 5,13.3 Inches,Graphite Grey,64 GB,Intel Core i3,4.0,Chrome OS,"Anti-glare,Backlit Keyboard,Narrow Bezels",Integrated,,1.1 GHz,5.0,399.0,64.0,0.3,0.10203148147386286,1.0,0.04477611940298507,0.025830258302583026,0.5974234663312119,0.4594951277036891
dell,Latitude 5320 2-in-1,13.3 Inches,Black,512 GB,Intel Core i7,16.0,Windows 10 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,3.4,1273.99,512.0,0.7,0.3638317981062644,0.6,0.22388059701492538,0.23247232472324722,0.6318806084902193,0.5008334369500103
dell,Latitude 5430 Laptop,14 Inches,Black,1000 GB,Intel Core i7,32.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1227.99,1000.0,0.7,0.35006842416474454,1.0,0.4626865671641791,0.4575645756457564,0.8361583149467504,0.7459058507520882
asus,ASUS Chromebook C423,14 Inches,Silver,32 GB,Celeron,4.0,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,Intel HD Graphics 500,1.1 GHz,4.2,199.0,32.0,0.2,0.04219072520638516,0.8,0.04477611940298507,0.01107011070110701,0.512177595444486,0.35722546887865364
asus,P1512CEA-XS51,15.6 Inches,Black,256 GB,Intel Core i5,8.0,Windows 11 Pro,,Integrated,,2.4,5.0,619.71,256.0,0.5,0.1680687480528379,1.0,0.1044776119402985,0.1143911439114391,0.6794404443642079,0.5578910766692484
lenovo,T450,14 Inches,Black,256 GB,Intel Core i5,16.0,Windows 10 Home,Speakers,Integrated,Intel HD 5500,1.1 GHz,5.0,139.98,256.0,0.5,0.024531718031852483,1.0,0.22388059701492538,0.1143911439114391,0.7320284473833304,0.6209810195733692
dell,xps 15 7590,15.6 Inches,Black,512 GB,Intel Core i7,16.0,Windows 10 Pro,"Anti-glare,Backlit Keyboard,Fingerprint Reader",NVIDIA GeForce GTX 1650 4GB,Dedicated,1.1 GHz,3.5,979.0,512.0,0.7,0.2755696746495482,0.625,0.22388059701492538,0.23247232472324722,0.6570330331815625,0.5310088561820356
hp,Unknown,15.6 Inches,Black,512 GB,unknown,16.0,Windows 11,,Integrated,Intel Iris,1.1 GHz,5.0,930.0,512.0,0.0,0.2609086893640161,1.0,0.22388059701492538,0.23247232472324722,0.5274652302386689,0.37556607797068037
lenovo,ThinkPad T15g Gen 2,15.6 Inches,Black,1 TB,Intel Core i9,32.0,Windows 10 Pro,,GeForce RTX 3080,NVIDIA GeForce RTX 3080,1.1 GHz,4.5,3400.1937500000004,1024.0,0.9,1.0,0.875,0.4626865671641791,0.46863468634686345,0.7403325163848653,0.6309434294216423
dell,XPS 9320 Laptop,13.4 Inches,Silver,512 GB,Intel Core i7,16.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1273.99,512.0,0.7,0.3638317981062644,1.0,0.22388059701492538,0.23247232472324722,0.7518806084902192,0.6447977009237067
dell,Precision 3000,15.6 Inches,Titan Gray,512 GB,Intel Core i7,16.0,Windows 10 Pro,Anti-glare Screen,T550,,1.1 GHz,5.0,1723.77,512.0,0.7,0.49840767487619503,1.0,0.22388059701492538,0.23247232472324722,0.7249654331362332,0.6125075058440435
lenovo,Lenovo Thinkpad,14 Inches,Black,256 GB,Intel Core i5,8.0,Windows 11,,Integrated,Intel HD Graphics 520,2.4 GHz,5.0,653.99,256.0,0.5,0.17832545367708355,1.0,0.1044776119402985,0.1143911439114391,0.6773891032393587,0.555430078209266
hp,ZBook Firefly 16 G9,16 Inches,Black,512 GB,Intel Core i7,32.0,Windows 11 Pro,Anti-glare Screen,"T500,Iris Xe Graphics",NVIDIA Intel T500 Iris Xe Graphics,1.1 GHz,5.0,1973.99,512.0,0.7,0.5732744450424364,1.0,0.4626865671641791,0.23247232472324722,0.7577532731328357,0.6518431496140287
dell,Precision 7770,17.3 Inches,Black,512 GB,Intel Core i7,64.0,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A4500 16GB GDDR6 (4DP),1.1 GHz,5.0,3400.1937500000004,512.0,0.7,1.0,1.0,0.9402985074626865,0.23247232472324722,0.7679305502010244,0.6640528513005133
panasonic,Panasonic Toughbook,13.1 Inches,silver/black,250 GB,Intel Core i5,4.0,Windows 7,Water Proof,Integrated,,1.1 GHz,2.7,299.95,250.0,0.5,0.07239534693239452,0.42500000000000004,0.04477611940298507,0.11162361623616235,0.5137196969295424,0.35907553142256105
acer,Chromebook,15.6 Inches,Black,1000 GB,Celeron,4.0,Chrome OS,,Integrated,Intel HD Graphics,1.5 GHz,3.6,93.99,1000.0,0.2,0.010771336128145986,0.65,0.04477611940298507,0.4575645756457564,0.5404356430018313,0.39112671069471133
dell,i3500-7722BLK-PUS,15.6 Inches,Black,512 GB,Intel Core i7,16.0,Windows 10 Home,Anti-glare,NVIDIA GeForce RTX2060,,1.1 GHz,4.3,1699.0,512.0,0.7,0.49099639721246785,0.825,0.22388059701492538,0.23247232472324722,0.6739476886689786,0.5513014055788232
dell,Dell Inspiron 16 5625,16 Inches,Silver,1000 GB,Ryzen 7,16.0,Windows 11 Home,,Integrated,AMD Radeon Graphics,1.1 GHz,5.0,854.86,1000.0,0.8,0.23842651723432481,1.0,0.22388059701492538,0.4575645756457564,0.8457255023029835,0.7573836264690761
msi,Summit E14Evo A12M-026,14 Inches,Ink Black,512 GB,Intel Core i5,16.0,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,1.1 GHz,5.0,941.05,512.0,0.5,0.2642148911477943,1.0,0.22388059701492538,0.23247232472324722,0.7018039898819133,0.5847206714217377
microsoft,Laptop 4 13 i5/8GB/512GB ICE BLUE,13.5 Inches,Ice Blue,512 GB,Intel Core i5,8.0,Windows 10 Home,Dolby,Integrated,,1.1 GHz,4.4,865.0,512.0,0.5,0.24146044357708593,0.8500000000000001,0.1044776119402985,0.23247232472324722,0.6374742823811297,0.5075441798217919
dell,Latitude 7000,14 Inches,Black,512 GB,Intel Core i7,32.0,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,,1.1 GHz,5.0,2192.13,512.0,0.7,0.6385427579033743,1.0,0.4626865671641791,0.23247232472324722,0.744699610560648,0.6361826419109786
hp,HP EliteBook,14 Inches,Black,256 GB,Intel Core i5,8.0,Windows 10 Pro,,Integrated,,2.4 GHz,5.0,490.77,256.0,0.5,0.129489412487195,1.0,0.1044776119402985,0.1143911439114391,0.6871563114773365,0.567147819418085
hp,Dragonfly Folio G3,13.5 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Pro,"Corning Gorilla Glass 7, Miracast Technology",Iris Xe Graphics,Intel Iris Xe Graphics,1.1 GHz,5.0,2333.99,512.0,0.7,0.6809878063238962,1.0,0.22388059701492538,0.23247232472324722,0.6884494068466929,0.5686991487772284
asus,G614JV,16 Inches,Eclipse Gray,2 TB,Intel Core i7,32.0,Windows 11 Pro,Backlit Keyboard,Dedicated,,1.1 GHz,5.0,1704.99,2048.0,0.7,0.4927886278626789,1.0,0.4626865671641791,0.940959409594096,0.8801234992994145,0.7986509791337477
asus,ASUS VivoBook,14 Inches,grey,128 GB,Intel Core i3,4.0,Windows 10 Home,Active Stylus,Integrated,,1.1 GHz,4.4,446.98,128.0,0.3,0.11638727890243077,0.8500000000000001,0.04477611940298507,0.055350553505535055,0.5539803511259411,0.4073763268265948
dell,Latitude 3000,14 Inches,Black,256 GB,Intel Core i3,8.0,Windows 11 Pro,Anti-glare Screen,UHD Graphics,,1.1 GHz,5.0,784.97,256.0,0.3,0.2175151649566547,1.0,0.1044776119402985,0.1143911439114391,0.5995511609834446,0.46204772765843455
dell,Precision 5570 Laptop,15.6 Inches,Black,512 GB,Intel Core i9,64.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,2699.0,512.0,0.9,0.7902001785498565,1.0,0.9402985074626865,0.23247232472324722,0.879890514491053,0.7983714667466411
hp,HP Chromebook 11,11.6 Inches,Black,1000 GB,Celeron,4.0,Chrome OS,Anti-glare Screen,Integrated,Intel HD Graphics 400,1.1 GHz,4.0,69.82,1000.0,0.2,0.0035395807332213036,0.75,0.04477611940298507,0.4575645756457564,0.5718819940808162,0.428852967259249
dell,Dell XPS,13.3 Inches,Silver/Carbon Fiber,128 GB,Intel Core i5,8.0,Windows 10,Full Hd Anti-glare,Integrated,,1.1 GHz,3.6,1099.95,128.0,0.5,0.31175837200230533,0.65,0.1044776119402985,0.055350553505535055,0.5368464310134289,0.3868207251767453
lenovo,ThinkPad E14 Gen 4,14 Inches,Black,256 GB,Ryzen 5,16.0,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,1.1 GHz,5.0,729.99,256.0,0.6,0.20106494105872508,1.0,0.22388059701492538,0.1143911439114391,0.731721802777956,0.6206131373657506
apple,Unknown,13.3 Inches,Black,256 GB,unknown,16.0,Mac OS,,Dedicated,,1.1 GHz,3.9,1499.0,256.0,0.0,0.4311556409449902,0.725,0.22388059701492538,0.1143911439114391,0.3932036628007029,0.21449218016933375
dell,Latitude 7640 Laptop,16 Inches,Black,512 GB,Intel Core i7,32.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1662.92,512.0,0.7,0.4802011247818149,1.0,0.4626865671641791,0.23247232472324722,0.7763679371849599,0.6741752030255426
lenovo,Thinkpad,11.6 Inches,Black,128 GB,Celeron,4.0,Windows 10 Pro,Anti Glare Coating,Integrated,,1.1 GHz,3.7,286.0,128.0,0.2,0.06822145418273795,0.675,0.04477611940298507,0.055350553505535055,0.4761135160698797,0.3139593135198689
dell,Precision 3000,15.6 Inches,Titan Gray,256 GB,Intel Core i5,16.0,Windows 10 Pro,Anti-glare Screen,GT2 Graphics,,1.1 GHz,5.0,1526.31,256.0,0.5,0.4393268962133143,1.0,0.22388059701492538,0.1143911439114391,0.649069411747038,0.521454882028815
dell,XPS 9315 Laptop,13.4 Inches,Platinum Silver,512 GB,Intel Core i5,16.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,909.99,512.0,0.5,0.254921621699455,1.0,0.22388059701492538,0.23247232472324722,0.703662643771581,0.5869505025818031
microsoft,Surface Laptop,15 Inches,Matte Black,256 GB,Ryzen 5,8.0,Windows 10 Home,,Integrated,AMD Radeon Vega 9,1.1 GHz,4.2,799.0,256.0,0.6,0.22171299400881828,0.8,0.1044776119402985,0.1143911439114391,0.6437115951730119,0.515027097698934
asus,Rog Strix Scar G533Z,15.6 Inches,Off Black,1 TB,Intel Core i9,16.0,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,1.1 GHz,5.0,2249.99,1024.0,0.9,0.6558546886915556,1.0,0.22388059701492538,0.46863468634686345,0.7989003846167034,0.7012074297758506
dell,Inspiron 7620 Laptop,16 Inches,Platinum Silver,1000 GB,Intel Core i7,40.0,Windows 11 Home,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1498.0,1000.0,0.7,0.4308564371636528,1.0,0.5820895522388059,0.4575645756457564,0.8438813093618941,0.7551711441408309
lenovo,82LX0050US,15.6 Inches,Black,128 GB,Intel Mobile CPU,4.0,Windows 11 S,"Bezels,Dolby,Stereo Speakers",Integrated,,3.3,5.0,222.5,128.0,0.0,0.04922201406781378,1.0,0.04477611940298507,0.055350553505535055,0.5074134040928645,0.3515098580339366
apple,Unknown,15.6 Inches,Black,512 GB,unknown,24.0,Mac OS,,Dedicated,,1.1 GHz,5.0,1899.0,512.0,0.0,0.5508371534799457,1.0,0.34328358208955223,0.23247232472324722,0.4933601344304084,0.3346501195057751
dell,Inspiron 3511,15.6 Inches,Black,512 GB,Intel Core i5,16.0,Windows 10 Pro,,Integrated,Intel UHD Graphics,1 GHz,5.0,681.61,512.0,0.5,0.18658946211762223,1.0,0.22388059701492538,0.23247232472324722,0.7173290756879476,0.6033461510150226
dell,Precision 5000,15.6 Inches,Aluminum Titan Gray,512 GB,Intel Core i7,32.0,Windows 10 Pro,Anti-glare Screen,RTX A2000,,1.1 GHz,4.0,1699.95,512.0,0.7,0.4912806408047384,0.75,0.4626865671641791,0.23247232472324722,0.6991520339803752,0.5815391140929407
dell,Latitude,14 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,2.8 GHz,5.0,802.91,512.0,0.7,0.22288288079384744,1.0,0.22388059701492538,0.23247232472324722,0.7800703919527027,0.6786170461549925
apple,Unknown,16.2 Inches,Black,1 TB,Apple M2,32.0,Mac OS,Backlit Keyboard,Integrated,,3.5 GHz,5.0,3043.95,1024.0,0.0,0.8934105229221886,1.0,0.4626865671641791,0.46863468634686345,0.4841504118004276,0.3236011950072161
dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,2000 GB,Intel Core i9,64.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,1.1 GHz,5.0,3208.03,2000.0,0.9,0.9425038793640274,1.0,0.9402985074626865,0.9188191881918819,0.9523818038485141,0.885339426053734
dell,G15,15.6 Inches,Black,256 GB,Intel Core i5,8.0,Windows 11 Home,,RTX 3050,,2.6 GHz,5.0,760.99,256.0,0.5,0.21034025828018413,1.0,0.1044776119402985,0.1143911439114391,0.6709861423187387,0.5477484319076875
asus,ASUS VivoBook,11.6 Inches,Black,32 GB,Celeron,2.0,Windows 10,,Integrated,,1.1 GHz,4.2,199.99,32.0,0.2,0.04248693694990917,0.8,0.014925373134328358,0.01107011070110701,0.50614820384205,0.3499919945098711
hp,Unknown,15.6 Inches,Black,1000 GB,Ryzen 5,32.0,Windows 11,Backlit Keyboard,Integrated,AMD,1.1 GHz,5.0,849.99,1000.0,0.6,0.23696939481921173,1.0,0.4626865671641791,0.4575645756457564,0.8237781208158569,0.7310533046195418
