brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_gb,cpu_weight,normalized_price,normalized_rating,normalized_ram,normalized_harddisk,vfm_score,normalized_vfm_score
lenovo,ThinkPad X1 Carbon Gen 8,14 Inches,Black,512 GB,unknown,16.0,Windows 10,Anti-glare,Integrated,Intel UHD Graphics,1.1 GHz,3.8,950.77,512.0,0.0,0.26712315190239366,0.7,0.22388059701492538,0.23247232472324722,0.43622233773099345,0.2661017791148586
dell,Vostro 3520 Laptop,15.6 Inches,Black,256 GB,Intel Core i5,8.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,628.99,256.0,0.5,0.17084535914364885,1.0,0.1044776119402985,0.1143911439114391,0.6788851221460457,0.5572248553825319
hp,HP EliteBook,14 Inches,Silver,1000 GB,1.2GHz Cortex A8 Processor,1.0,Windows 10,,Integrated,Intel Iris,1.1 GHz,5.0,1194.77,1000.0,0.0,0.3401288745487165,1.0,0.0,0.4575645756457564,0.5006089114371202,0.3433464932264478
dell,Alienware X14 Laptop,14 Inches,Lunar Light,1000 GB,Intel Core i7,16.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,1.1 GHz,5.0,2086.99,1000.0,0.7,0.6070844723335612,1.0,0.22388059701492538,0.4575645756457564,0.7369939112831362,0.6269380975368983
lenovo,Unknown,15.6 Inches,Gray,512 GB,Intel Core i7,16.0,Windows 10,Fingerprint Reader,Dedicated,NVIDIA GeForce GTX 1650,1.1 GHz,3.8,2699.0,512.0,0.7,0.7902001785498565,0.7,0.22388059701492538,0.23247232472324722,0.5766069324015008,0.434521486156403
dell,Dell-7855-G7-512SSD,15.6 Inches,Black,512 GB,Intel Core i7,16.0,Windows 10 Home,,Dedicated,NVIDIA GeForce GTX 1060,1.1 GHz,5.0,1799.0,512.0,0.7,0.5209167753462068,1.0,0.22388059701492538,0.23247232472324722,0.7204636130422308,0.6071066623742514
lenovo,Lenovo 17.3 L,17.3 Inches,Platinum Grey,128 GB,Ryzen 3,8.0,Windows 10,"Anti-glare,Dolby",Integrated,,1.1 GHz,4.7,686.9,128.0,0.4,0.188172250120897,0.925,0.1044776119402985,0.055350553505535055,0.6090636553897106,0.47345988812303447
asus,ASUS Rog Zephyrus,15.6 Inches,Black,1 TB,Intel Core i7,16.0,Windows 10 Pro,,RTX 2070 Super,NVIDIA GeForce RTX 2070 Max-Q,1.1 GHz,3.5,1999.99,1024.0,0.7,0.5810537433572085,0.625,0.22388059701492538,0.46863468634686345,0.6313605736835729,0.500209550048514
dell,Dell Inspiron 16 5625,16 Inches,Silver,1000 GB,Ryzen 7,32.0,Windows 11 Home,,Integrated,AMD Radeon Graphics,1.1 GHz,5.0,925.99,1000.0,0.8,0.2597088822008532,1.0,0.4626865671641791,0.4575645756457564,0.8892302233395286,0.8095763359974695
dell,Dell Precision 5520 Mobile Workstation,15.6 Inches,Black,1000 GB,unknown,16.0,Windows 10 Pro,,Dedicated,Intel HD Graphics 630,2.9 GHz,2.0,1799.81,1000.0,0.0,0.5211591304090901,0.25,0.22388059701492538,0.4575645756457564,0.2841789796680305,0.0836950279846615
